,Year,Production (million tonnes)
0,1950,2000000
1,1951,2000000
2,1952,2000000
3,1953,3000000
4,1954,3000000
5,1955,4000000
6,1956,5000000
7,1957,5000000
8,1958,6000000
9,1959,7000000
10,1960,8000000
11,1961,9000000
12,1962,11000000
13,1963,13000000
14,1964,15000000
15,1965,17000000
16,1966,20000000
17,1967,23000000
18,1968,27000000
19,1969,32000000
20,1970,35000000
21,1971,38000000
22,1972,44000000
23,1973,51000000
24,1974,52000000
25,1975,46000000
26,1976,54000000
27,1977,59000000
28,1978,64000000
29,1979,71000000
30,1980,70000000
31,1981,72000000
32,1982,73000000
33,1983,80000000
34,1984,86000000
35,1985,90000000
36,1986,96000000
37,1987,104000000
38,1988,110000000
39,1989,114000000
40,1990,120000000
41,1991,124000000
42,1992,132000000
43,1993,137000000
44,1994,151000000
45,1995,156000000
46,1996,168000000
47,1997,180000000
48,1998,188000000
49,1999,202000000
50,2000,213000000
51,2001,218000000
52,2002,231000000
53,2003,241000000
54,2004,256000000
55,2005,263000000
56,2006,280000000
57,2007,295000000
58,2008,281000000
59,2009,288000000
60,2010,313000000
61,2011,325000000
62,2012,338000000
63,2013,352000000
64,2014,367000000
65,2015,381000000
