Year,Production (million tonnes),Production (million tonnes)_RBF,Production (million tonnes)_Linear,Production (million tonnes)_Polynomial
1950,2000000,2000000,2000000,2000000
1951,2000000,2000000,2000000,2000000
1952,2000000,2000000,2000000,2000000
1953,3000000,3000000,3000000,3000000
1954,3000000,3000000,3000000,3000000
1955,4000000,4000000,4000000,4000000
1956,5000000,5000000,5000000,5000000
1957,5000000,5000000,5000000,5000000
1958,6000000,6000000,6000000,6000000
1959,7000000,7000000,7000000,7000000
1960,8000000,8000000,8000000,8000000
1961,9000000,9000000,9000000,9000000
1962,11000000,11000000,11000000,11000000
1963,13000000,13000000,13000000,13000000
1964,15000000,15000000,15000000,15000000
1965,17000000,17000000,17000000,17000000
1966,20000000,20000000,20000000,20000000
1967,23000000,23000000,23000000,23000000
1968,27000000,27000000,27000000,27000000
1969,32000000,32000000,32000000,32000000
1970,35000000,35000000,35000000,35000000
1971,38000000,38000000,38000000,38000000
1972,44000000,44000000,44000000,44000000
1973,51000000,51000000,51000000,51000000
1974,52000000,52000000,52000000,52000000
1975,46000000,46000000,46000000,46000000
1976,54000000,54000000,54000000,54000000
1977,59000000,59000000,59000000,59000000
1978,64000000,64000000,64000000,64000000
1979,71000000,71000000,71000000,71000000
1980,70000000,70000000,70000000,70000000
1981,72000000,72000000,72000000,72000000
1982,73000000,73000000,73000000,73000000
1983,80000000,80000000,80000000,80000000
1984,86000000,86000000,86000000,86000000
1985,90000000,90000000,90000000,90000000
1986,96000000,96000000,96000000,96000000
1987,104000000,104000000,104000000,104000000
1988,110000000,110000000,110000000,110000000
1989,114000000,114000000,114000000,114000000
1990,120000000,120000000,120000000,120000000
1991,124000000,124000000,124000000,124000000
1992,132000000,132000000,132000000,132000000
1993,137000000,137000000,137000000,137000000
1994,151000000,151000000,151000000,151000000
1995,156000000,156000000,156000000,156000000
1996,168000000,168000000,168000000,168000000
1997,180000000,180000000,180000000,180000000
1998,188000000,188000000,188000000,188000000
1999,202000000,202000000,202000000,202000000
2000,213000000,213000000,213000000,213000000
2001,218000000,218000000,218000000,218000000
2002,231000000,231000000,231000000,231000000
2003,241000000,241000000,241000000,241000000
2004,256000000,256000000,256000000,256000000
2005,263000000,263000000,263000000,263000000
2006,280000000,280000000,280000000,280000000
2007,295000000,295000000,295000000,295000000
2008,281000000,281000000,281000000,281000000
2009,288000000,288000000,288000000,288000000
2010,313000000,313000000,313000000,313000000
2011,325000000,325000000,325000000,325000000
2012,338000000,338000000,338000000,338000000
2013,352000000,352000000,352000000,352000000
2014,367000000,367000000,367000000,367000000
2015,381000000,381000000,381000000,381000000
2016,,342761043.4,292801505.8,425469132.2
2017,,349696274.2,298164202.7,454163840.9
2018,,356447029.3,303526899.5,484571172.5
2019,,363003999.7,308889596.4,516740768.3
2020,,369358359.1,314252293.2,550722269.7
2021,,375501784.5,319614990,586565317.8
2022,,381426473.4,324977686.9,624319553.8
2023,,387125161,330340383.7,664034619.1
2024,,392591133.7,335703080.6,705760154.8
2025,,397818242,341065777.4,749545802.3
2026,,402800910.8,346428474.3,795441202.7
2027,,407534148.4,351791171.1,843495997.3
2028,,412013552.2,357153867.9,893759827.4
2029,,416235314.2,362516564.8,946282334.1
2030,,420196223.1,367879261.6,1001113159
2031,,423893665.2,373241958.5,1058301943
2032,,427325623.2,378604655.3,1117898327
2033,,430490672.8,383967352.2,1179951953
2034,,433387978,389330049,1244512462
2035,,436017284.1,394692745.8,1311629495
