,Country name,Code,Year,Mismanaged plastic waste (metric tons year-1)
6,Asia,,2019,39881167
0,Africa,,2019,13690104
66,India,IND,2019,12994100
25,China,CHN,2019,12272200
143,South America,,2019,4942514
118,Philippines,PHL,2019,4025300
16,Brazil,BRA,2019,3296700
106,Nigeria,NGA,2019,1948950
107,North America,,2019,1927484
152,Tanzania,TZA,2019,1716400
159,Turkey,TUR,2019,1656110
40,Egypt,EGY,2019,1435510
33,Democratic Republic of Congo,COD,2019,1369730
153,Thailand,THA,2019,1361690
112,Pakistan,PAK,2019,1346460
45,Europe,,2019,1180718
166,Vietnam,VNM,2019,1112790
10,Bangladesh,BGD,2019,1021990
67,Indonesia,IDN,2019,824234
88,Malaysia,MYS,2019,814454
147,Sudan,SDN,2019,781625
2,Algeria,DZA,2019,764578
142,South Africa,ZAF,2019,708467
165,Venezuela,VEN,2019,671431
21,Cameroon,CMR,2019,578798
170,Zimbabwe,ZWE,2019,524865
54,Ghana,GHA,2019,520002
68,Iran,IRN,2019,495965
69,Iraq,IRQ,2019,491771
5,Argentina,ARG,2019,465808
100,Mozambique,MOZ,2019,434432
101,Myanmar,MMR,2019,434432
95,Mexico,MEX,2019,430614
160,Ukraine,UKR,2019,393777
125,Russia,RUS,2019,363389
19,Burkina Faso,BFA,2019,317298
58,Guatemala,GTM,2019,311003
99,Morocco,MAR,2019,295488
169,Yemen,YEM,2019,291737
30,Cote d'Ivoire,CIV,2019,291614
77,Kenya,KEN,2019,289917
158,Tunisia,TUN,2019,289538
163,United States,USA,2019,267469
38,EU-27,,2019,266588
20,Cambodia,KHM,2019,247495
62,Haiti,HTI,2019,237968
3,Angola,AGO,2019,236946
37,Dominican Republic,DOM,2019,194018
84,Libya,LBY,2019,188535
146,Sri Lanka,LKA,2019,155466
59,Guinea,GIN,2019,147997
63,Honduras,HND,2019,145995
117,Peru,PER,2019,140313
110,Oceania,,2019,136506
14,Benin,BEN,2019,133335
75,Jordan,JOR,2019,124425
155,Togo,TGO,2019,121783
116,Papua New Guinea,PNG,2019,119538
105,Nicaragua,NIC,2019,110862
39,Ecuador,ECU,2019,108797
164,Uruguay,URY,2019,92620
135,Sierra Leone,SLE,2019,91239
26,Colombia,COL,2019,85454
43,Eritrea,ERI,2019,84088
157,Trinidad and Tobago,TTO,2019,73139
1,Albania,ALB,2019,69833
133,Senegal,SEN,2019,65660
28,Congo,COG,2019,65291
27,Comoros,COM,2019,59158
15,Bosnia and Herzegovina,BIH,2019,55551
76,Kazakhstan,KAZ,2019,54242
124,Romania,ROU,2019,52161
53,Germany,DEU,2019,50676
73,Jamaica,JAM,2019,49673
81,Lebanon,LBN,2019,46622
83,Liberia,LBR,2019,39930
72,Italy,ITA,2019,38803
115,Panama,PAN,2019,36339
74,Japan,JPN,2019,35684
51,Gambia,GMB,2019,35095
24,Chile,CHL,2019,30767
82,Lesotho,LSO,2019,30391
162,United Kingdom,GBR,2019,29914
48,France,FRA,2019,27780
61,Guyana,GUY,2019,27565
87,Madagascar,MDG,2019,25250
22,Canada,CAN,2019,23587
148,Suriname,SUR,2019,22933
41,El Salvador,SLV,2019,21693
102,Namibia,NAM,2019,20892
93,Mauritania,MRT,2019,20796
60,Guinea-Bissau,GNB,2019,20465
145,Spain,ESP,2019,20350
31,Croatia,HRV,2019,17544
154,Timor,TLS,2019,17244
103,Netherlands,NLD,2019,15233
86,Macau,,2019,14749
119,Poland,POL,2019,14124
144,South Korea,KOR,2019,12156
35,Djibouti,DJI,2019,10289
42,Equatorial Guinea,GNQ,2019,9403
151,Taiwan,TWN,2019,7502
132,Saudi Arabia,SAU,2019,7176
71,Israel,ISR,2019,6060
13,Belize,BLZ,2019,6021
50,Gabon,GAB,2019,5991
64,Hong Kong,HKG,2019,5781
29,Costa Rica,CRI,2019,5751
7,Australia,AUS,2019,5266
161,United Arab Emirates,ARE,2019,5135
55,Greece,GRC,2019,4506
127,Saint Lucia,LCA,2019,4276
149,Sweden,SWE,2019,4255
167,Western Sahara,ESH,2019,4114
46,Fiji,FJI,2019,3858
120,Portugal,PRT,2019,3818
23,Cape Verde,CPV,2019,3568
140,Solomon Islands,SLB,2019,3520
18,Bulgaria,BGR,2019,3117
70,Ireland,IRL,2019,2675
79,Kuwait,KWT,2019,2640
47,Finland,FIN,2019,2621
136,Singapore,SGP,2019,2468
12,Belgium,BEL,2019,2284
8,Bahamas,BHS,2019,2212
114,Palestine,PSE,2019,2129
131,Sao Tome and Principe,STP,2019,2069
130,Samoa,WSM,2019,1738
138,Slovakia,SVK,2019,1719
104,New Zealand,NZL,2019,1714
122,Qatar,QAT,2019,1532
109,Norway,NOR,2019,1494
56,Grenada,GRD,2019,1357
121,Puerto Rico,PRI,2019,1293
111,Oman,OMN,2019,1251
129,Saint Vincent and the Grenadines,VCT,2019,1235
36,Dominica,DMA,2019,1082
9,Bahrain,BHR,2019,1043
85,Lithuania,LTU,2019,1037
80,Latvia,LVA,2019,955
11,Barbados,BRB,2019,872
139,Slovenia,SVN,2019,844
32,Cyprus,CYP,2019,837
17,Brunei,BRN,2019,692
156,Tonga,TON,2019,666
4,Antigua and Barbuda,ATG,2019,627
44,Estonia,EST,2019,600
150,Syria,SYR,2019,502
96,Micronesia,,2019,447
34,Denmark,DNK,2019,390
108,North Korea,PRK,2019,322
52,Georgia,GEO,2019,307
94,Mauritius,MUS,2019,299
90,Malta,MLT,2019,259
123,Reunion,REU,2019,233
57,Guadeloupe,GLP,2019,162
65,Iceland,ISL,2019,151
92,Martinique,MTQ,2019,139
49,French Guiana,GUF,2019,126
113,Palau,PLW,2019,116
126,Saint Kitts and Nevis,KNA,2019,97
78,Kiribati,KIR,2019,74
89,Maldives,MDV,2019,60
141,Somalia,SOM,2019,42
134,Seychelles,SYC,2019,33
98,Montenegro,MNE,2019,16
91,Marshall Islands,MHL,2019,16
128,Saint Martin,,2019,8
97,Monaco,MCO,2019,5
137,Sint Maarten,,2019,3
