,Country name,Code,Year,Per capita plastic waste (kg/person/day)
91,Kuwait,KWT,2010,0.6859999999999999
4,Antigua and Barbuda,ATG,2010,0.66
143,Saint Kitts and Nevis,KNA,2010,0.654
74,Guyana,GUY,2010,0.586
11,Barbados,BRB,2010,0.57
144,Saint Lucia,LCA,2010,0.522
62,Germany,DEU,2010,0.485
83,Ireland,IRL,2010,0.43
116,Netherlands,NLD,2010,0.424
77,Hong Kong,HKG,2010,0.39799999999999996
8,Bahamas,BHS,2010,0.39
97,Macao,MAC,2010,0.368
151,Seychelles,SYC,2010,0.358
161,Sri Lanka,LKA,2010,0.35700000000000004
180,United States,USA,2010,0.335
119,New Zealand,NZL,2010,0.331
67,Grenada,GRD,2010,0.325
100,Maldives,MDV,2010,0.322
84,Israel,ISR,2010,0.297
182,Vanuatu,VUT,2010,0.295
172,Trinidad and Tobago,TTO,2010,0.29
78,Iceland,ISL,2010,0.281
126,Norway,NOR,2010,0.28
70,Guatemala,GTM,2010,0.28
160,Spain,ESP,2010,0.27699999999999997
136,Portugal,PRT,2010,0.265
35,Costa Rica,CRI,2010,0.258
117,Netherlands Antilles,ANT,2010,0.252
52,Faeroe Islands,FRO,2010,0.252
53,Falkland Islands,FLK,2010,0.252
58,French Polynesia,PYF,2010,0.252
118,New Caledonia,NCL,2010,0.252
166,Taiwan,TWN,2010,0.252
154,Sint Maarten (Dutch part),SXM,2010,0.252
64,Gibraltar,GIB,2010,0.252
66,Greenland,GRL,2010,0.252
122,Niue,NIU,2010,0.252
103,Martinique,MTQ,2010,0.252
125,Northern Mariana Islands,MNP,2010,0.252
108,Monaco,MCO,2010,0.252
145,Saint Pierre and Miquelon,SPM,2010,0.252
69,Guam,GUM,2010,0.252
71,Guernsey,GGY,2010,0.252
29,Christmas Island,CXR,2010,0.252
6,Aruba,ABW,2010,0.252
15,Bermuda,BMU,2010,0.252
181,Uruguay,URY,2010,0.252
25,Cayman Islands,CYM,2010,0.252
26,Channel Islands,OWID_CIS,2010,0.252
183,Venezuela,VEN,2010,0.252
30,Cocos Islands,CCK,2010,0.252
175,Turks and Caicos Islands,TCA,2010,0.252
137,Puerto Rico,PRI,2010,0.252
37,Croatia,HRV,2010,0.252
18,British Virgin Islands,VGB,2010,0.252
3,Anguilla,AIA,2010,0.252
39,Curacao,CUW,2010,0.252
40,Cyprus,CYP,2010,0.248
158,South Africa,ZAF,2010,0.24
55,Finland,FIN,2010,0.23399999999999999
105,Mauritius,MUS,2010,0.23
171,Tonga,TON,2010,0.223
146,Saint Vincent and the Grenadines,VCT,2010,0.221
179,United Kingdom,GBR,2010,0.215
101,Malta,MLT,2010,0.214
174,Turkey,TUR,2010,0.212
32,Comoros,COM,2010,0.201
65,Greece,GRC,2010,0.2
178,United Arab Emirates,ARE,2010,0.19899999999999998
99,Malaysia,MYS,2010,0.198
153,Singapore,SGP,2010,0.19399999999999998
102,Marshall Islands,MHL,2010,0.192
56,France,FRA,2010,0.192
76,Honduras,HND,2010,0.18899999999999997
54,Fiji,FJI,2010,0.18899999999999997
5,Argentina,ARG,2010,0.183
165,Syria,SYR,2010,0.17800000000000002
47,Egypt,EGY,2010,0.17800000000000002
51,Estonia,EST,2010,0.17600000000000002
13,Belize,BLZ,2010,0.172
87,Japan,JPN,2010,0.171
17,Brazil,BRA,2010,0.165
163,Suriname,SUR,2010,0.163
138,Qatar,QAT,2010,0.16
149,Saudi Arabia,SAU,2010,0.156
20,Bulgaria,BGR,2010,0.154
44,Dominica,DMA,2010,0.149
46,Ecuador,ECU,2010,0.147
48,El Salvador,SLV,2010,0.147
131,Panama,PAN,2010,0.145
155,Slovenia,SVN,2010,0.145
110,Montserrat,MSR,2010,0.14400000000000002
139,Reunion,REU,2010,0.14400000000000002
114,Namibia,NAM,2010,0.14400000000000002
115,Nauru,NRU,2010,0.14400000000000002
16,Bosnia and Herzegovina,BIH,2010,0.14400000000000002
109,Montenegro,MNE,2010,0.14400000000000002
173,Tunisia,TUN,2010,0.14400000000000002
81,Iran,IRN,2010,0.14400000000000002
133,Peru,PER,2010,0.14400000000000002
95,Libya,LBY,2010,0.14400000000000002
45,Dominican Republic,DOM,2010,0.14400000000000002
49,Equatorial Guinea,GNQ,2010,0.14400000000000002
57,French Guiana,GUF,2010,0.14400000000000002
34,Cook Islands,COK,2010,0.14400000000000002
31,Colombia,COL,2010,0.14400000000000002
68,Guadeloupe,GLP,2010,0.14400000000000002
142,Saint Helena,SHN,2010,0.14400000000000002
168,Thailand,THA,2010,0.14400000000000002
176,Tuvalu,TUV,2010,0.14400000000000002
88,Jordan,JOR,2010,0.14400000000000002
129,Palau,PLW,2010,0.14400000000000002
1,Algeria,DZA,2010,0.14400000000000002
120,Nicaragua,NIC,2010,0.14300000000000002
85,Italy,ITA,2010,0.134
9,Bahrain,BHR,2010,0.132
96,Lithuania,LTU,2010,0.132
92,Latvia,LVA,2010,0.124
28,China,CHN,2010,0.121
27,Chile,CHL,2010,0.11900000000000001
141,Russia,RUS,2010,0.11199999999999999
159,South Korea,KOR,2010,0.11199999999999999
7,Australia,AUS,2010,0.11199999999999999
148,Sao Tome and Principe,STP,2010,0.10300000000000001
184,Vietnam,VNM,2010,0.10300000000000001
177,Ukraine,UKR,2010,0.10300000000000001
36,Cote d'Ivoire,CIV,2010,0.10300000000000001
43,Djibouti,DJI,2010,0.10300000000000001
170,Tokelau,TKL,2010,0.10300000000000001
162,Sudan,SDN,2010,0.10300000000000001
132,Papua New Guinea,PNG,2010,0.10300000000000001
121,Nigeria,NGA,2010,0.10300000000000001
82,Iraq,IRQ,2010,0.10300000000000001
156,Solomon Islands,SLB,2010,0.10300000000000001
128,Pakistan,PAK,2010,0.10300000000000001
90,Kiribati,KIR,2010,0.10300000000000001
107,Micronesia (country),FSM,2010,0.10300000000000001
150,Senegal,SEN,2010,0.10300000000000001
147,Samoa,WSM,2010,0.10300000000000001
123,Norfolk Island,NFK,2010,0.10300000000000001
185,Yemen,YEM,2010,0.10300000000000001
135,Poland,POL,2010,0.09699999999999999
93,Lebanon,LBN,2010,0.094
23,Canada,CAN,2010,0.09300000000000001
75,Haiti,HTI,2010,0.09
38,Cuba,CUB,2010,0.08900000000000001
106,Mexico,MEX,2010,0.087
94,Liberia,LBR,2010,0.084
127,Oman,OMN,2010,0.084
12,Belgium,BEL,2010,0.08
134,Philippines,PHL,2010,0.075
113,Myanmar,MMR,2010,0.075
111,Morocco,MAR,2010,0.073
33,Congo,COG,2010,0.069
0,Albania,ALB,2010,0.069
61,Georgia,GEO,2010,0.068
21,Cambodia,KHM,2010,0.066
24,Cape Verde,CPV,2010,0.065
130,Palestine,PSE,2010,0.063
2,Angola,AGO,2010,0.062
80,Indonesia,IDN,2010,0.057
169,Togo,TGO,2010,0.057
157,Somalia,SOM,2010,0.054000000000000006
124,North Korea,PRK,2010,0.054000000000000006
73,Guinea-Bissau,GNB,2010,0.054000000000000006
59,Gabon,GAB,2010,0.054000000000000006
60,Gambia,GMB,2010,0.048
164,Sweden,SWE,2010,0.048
42,Denmark,DNK,2010,0.047
22,Cameroon,CMR,2010,0.046
50,Eritrea,ERI,2010,0.045
41,Democratic Republic of Congo,COD,2010,0.045
104,Mauritania,MRT,2010,0.045
14,Benin,BEN,2010,0.043
140,Romania,ROU,2010,0.042
152,Sierra Leone,SLE,2010,0.040999999999999995
63,Ghana,GHA,2010,0.04
10,Bangladesh,BGD,2010,0.034
86,Jamaica,JAM,2010,0.034
72,Guinea,GIN,2010,0.03
89,Kenya,KEN,2010,0.027000000000000003
19,Brunei,BRN,2010,0.026000000000000002
167,Tanzania,TZA,2010,0.023
98,Madagascar,MDG,2010,0.016
112,Mozambique,MOZ,2010,0.015
79,India,IND,2010,0.01
